,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,In1,In2,In3,In4,In5,In6,In7,In8,Astro,Endo,Micro,OPC,Oligo
rh_G_pariet_inf-Angular_thickness,0.07325257631531576,-0.05696078081274552,0.03261138830750088,0.20146871687911044,-0.0849872468981535,-0.5478286572204565,0.13272191876292244,-0.37008558288365945,-0.3939044135577089,-0.050891210994783394,-0.0730437022593412,-0.12491881560491351,0.07448797584845686,0.07449496120889958,-0.20316448224264047,-0.26459331751370924,-0.3776595205594423,-0.6088870668292006,-0.027269251671604836,-0.06045428827757833,-0.701731719652995
rh_G_pariet_inf-Supramar_thickness,-0.044630356299174515,-0.05065118211742319,0.18108299301256991,-0.029447769337769145,-0.0453773930842542,-0.3238414869942707,-0.2971195517905003,-0.34667735262421967,-1.1562456303494804,-0.31633394628767547,-0.11820218044315961,-0.06662603983902197,0.07727902989568221,0.28417382258075335,0.05826209855861212,-0.06314878849143252,-0.42996757104872996,-0.23148408393653508,0.09184407957183156,-0.01692755925990555,-0.11795709833389752
rh_G_parietal_sup_thickness,-0.05531805116294577,0.016455635508290115,0.40736969985996063,-0.17429938177600862,-0.2053060963373598,-0.569597342132644,-0.3004091473100728,-0.4280224274544214,-0.8961702990281475,0.03869974208216271,-0.20220901121375803,0.0703843697205059,-0.20034166255019345,0.2749453522567702,-0.3015274313886017,-0.2665781926880302,0.03719790450289733,-0.6731051631372211,-0.13575735017919252,-0.16248200416420103,-0.7799978686407081
rh_G_postcentral_thickness,-0.7270503463211365,-0.31393341997328633,0.7464947132104423,-0.46347006927845963,-0.29461173026907517,0.010179272875792155,-0.42662801060190736,-0.15829099862255724,-1.3862037291759381,-0.1279851981728674,-0.4247166963325538,0.10347368657304577,-0.25759084378428004,0.6426818795013161,0.1106208165296682,-0.2940815042860878,-0.7154348536944286,-0.2916727865649939,0.28497274557233876,-0.006197709778880447,-0.04427879566792834
rh_G_precentral_thickness,-0.34855750673426655,-0.10746466910841472,-0.35691454143866047,-0.5835642753015067,-0.2425353449554458,0.2677869947415186,-0.020104446938362375,0.2014211857103575,-0.06786998061346534,-0.18654986918741961,-0.21936828802885608,0.1521803747604914,-0.3514106284599124,0.6990630624662428,0.254956765645589,-0.9718441981388465,0.012246306236073803,0.39600011882070363,0.007756505215195997,0.03754593252552581,0.5633366011412853
rh_G_precuneus_thickness,-0.04783746616781146,0.25066230231699255,0.15013241885392223,-0.059323523180536714,0.10534068126744706,-0.2261751548890043,0.023718232396308252,-0.2999561448140667,-0.5217389367487859,-0.30543888029306576,-0.13936359863795217,-0.0081610627293576,-0.22984751123971245,-0.25560586267966456,-0.4009359022650492,-0.2668729057902965,0.04904946809455975,-0.3991038646679083,-0.8853217262437234,-0.5927381529543835,-0.40765916483840997
rh_G_rectus_thickness,0.17099815646095226,-0.2682021613260324,-0.6551180328550348,0.3650135366128765,0.6099335214977819,0.1575108062119797,0.8877244231152552,-0.1734360991047888,0.9905587553824404,-0.05527685190110687,-0.026934526809034656,-0.9878998805361804,-0.13943775441451803,0.17213820325384024,-0.47371417182707953,0.7568251003824216,0.02866458780006513,-0.6465466278403006,0.6300007897282421,0.4855531842180591,-0.763463541585437
rh_G_subcallosal_thickness,-0.5537705072324722,-0.4164916645595165,-2.3787554976460052,-0.10822169415558079,-0.15599205797706056,1.1975097172049112,0.8362055142687238,-0.09586134613421103,1.4375213742424946,0.6116013444718521,-0.31342426075342594,-1.2152370890654274,-0.40323093355172496,-0.49973153580239815,-1.0267875736870329,0.4771607883640377,0.3679484678819343,-0.020390652019685148,1.4374572809985897,1.101015214372914,0.06467926298546786
rh_G_temp_sup-G_T_transv_thickness,0.13214696505195778,0.19608265297637084,1.1552284653167757,-0.29134045737402336,0.16027290344043646,0.20025860363587014,-0.4936148691152395,0.42545453715674997,-1.1961092256900199,-0.0894561532891156,-0.2340773408309701,0.4140022626615945,0.8221197591116558,-0.23102427207171705,0.5686316049349498,0.42565421231660117,-0.7396469659646109,0.28529502816925645,0.029245062665182675,-0.10680668355845424,0.8884032072440992
rh_G_temp_sup-Lateral_thickness,0.20491692276777232,-0.6925311675496811,-0.14929165727080626,0.0716737300828934,0.4208811291359011,-0.2774016149281539,0.04800348425254297,-0.3649596126228478,-0.03046239246969308,-0.25947788619575607,-0.01591577596029784,-0.48809187229084744,0.10735692696934408,-0.23324181986845138,-0.058218601660218104,0.15231105122646524,-0.7086458466313199,-0.5685837414898537,0.10575302514782983,0.042043466299949685,-0.49256056801321607
rh_G_temp_sup-Plan_polar_thickness,1.1249607440457703,-0.7102941679044653,-0.9498729086441453,0.04666098711754283,0.28287335694133964,0.1970957928359175,0.5038066437440905,0.12401854040360318,0.6734481233402387,-0.09775295035328105,0.338330716970718,-1.1030634810858635,0.0184633786796935,-1.00421430840121,0.22739163469458618,0.08659877465646049,0.4991250198205743,-0.31436082969606377,0.9787061460725727,0.6443278329395282,-0.52510138035911
rh_G_temp_sup-Plan_tempo_thickness,0.39437658982200574,-0.2591456459718949,-0.0951610764189115,-0.037697429364035084,-0.4171218556944498,-0.6152455956643713,-0.4180319679299953,-0.2071809226903193,-0.4395070372028556,-0.024246616312505805,-0.17281933581040998,0.34562525898414714,0.3297397450591387,0.008899237687796147,0.07479152231643577,-0.21991248470360247,-0.3473119360113346,0.02323575365676601,-0.5586500032116928,-0.45696576278406076,0.2821742587609891
rh_G_temporal_inf_thickness,0.5447038370264687,-0.4948131100426598,-0.5437606560032544,0.5038820065108741,0.441288777456642,-0.11848334763482216,0.21098591778379053,-0.1816246191895475,0.2896914120024039,0.02455121234886684,0.29186870875813353,-0.4430156139955788,0.040556248932114104,-0.41970723524012055,0.11570378132132302,-0.07233198186945773,0.19766440942303118,-0.28239451880129895,0.017734330819802725,0.046771732327077056,-0.37518952108867265
